RESPONSE;CODER;PTYNAME;PTYID;PGID;COUNTRY;CTRYID;YEAR;EUROPARTY;PARTYFAM1;PARTYFAM2;PARTYFAM3;CR2PTYFED;CR9DUESSTATE;CR12MBRNUM;CR13MBRYR;CR14AFFL;CR15AFFLYR;CR16ALLMBR;CR17ALLYR;CR20PPGLDR;CR21ORGLDR;CR22TOPCAND;CR23POLLDR;A4RECPARTYTXT;A5RECPPGTXT;A36MBRSTATE;A47LOWNAME;A67CONOTHER;A77EXCOTHER;A91EXCWOMTXT;A92EXCETHTXT;B2BALLOTTXT;B3CANLAW1TXT;B4CANLAW2TXT;B18CANWOMTXT;B19CANETH;B20CANETHTXT;B21CANRUL1;B22CANRUL2TXT;B23CANRUL3TXT;C11DEPUTY;C12DEPUTYTXT;C21PLTITLE;C30PLAFFLTXT;C58PLVOT2B;C59PLNAME
134;Kopecky;Christian Democratic Union;5005;1245;Czech Republic;5;2012;1;1;1;1;1;Not Applicable;30476;2013;-999;-999;30476;2013;Pavel Belobradek;Pavel Belobradek;Pavel Belobradek;Pavel Belobradek;Minimum of 3 Czech citizens older than 18 can form a preparatory committee;;;;;;;;;;;;;;;;;;;;;;
135;Kopecky;Christian Democratic Union;5005;1245;Czech Republic;5;2013;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
136;Kopecky;Christian Democratic Union;5005;1245;Czech Republic;5;2014;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Not Provided;Not Provided;-888;Not Provided
137;Pedersen;Social Democrats;6001;1629;Denmark;6;2005;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Helle Thorning-Schmidt
138;Pedersen;Social Democrats;6001;1629;Denmark;6;2011;2;2;2;2;5;Not Applicable;46000;2011;-999;-999;46000;2011;Mogens Jensen;Helle Thorning-Schmidt;Helle Thorning-Schmidt;Helle Thorning-Schmidt;Ballot access as a party requires signatures (1/175 of the eligible votes at the most recent election).;Minimum of 4 MPs.;Not Applicable;Kredsforening;Not Applicable;Social Democratic group in Local Government Denmark, Social Democratic group in Regional Government Denmark;No rules.;No rules.;Parties represented after the previous election and still present in parliament are eligible to nominate candidates. Other parties are required to collect signatures from a number of voters totaling 1/175 of all valid votes cast at the previous election (set for five years). No voter may sign for more than one party. The signatures are verified by electoral authorities.;No legal rules.;No legal rules.;If both genders are not represented among candidates for national elections, the regional branch is to supply an extra candidate of the unrepresented gender.;2;No rules.;1;Right to participate in the nomination of candidates and seek nomination after one year's membership.;Nominate candidates.;2;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
139;Pedersen;Social Democrats;6001;1629;Denmark;6;2012;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Helle Thorning-Schmidt
140;Pedersen;Social Democrats;6001;1629;Denmark;6;2013;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
141;Pedersen;Social Democrats;6001;1629;Denmark;6;2014;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
142;Pedersen;Danish People's Party;6002;1418;Denmark;6;2011;7;7;7;6;6;Not Applicable;10080;2011;-999;-999;10080;2011;Kristian Thulesen Dahl;Pia KjÃ¦rsgaard;Pia KjÃ¦rsgaard;Pia KjÃ¦rsgaard;Ballot access as a party requires signatures (1/175 of the eligible votes at the most recent election).;Minimum of 4 MPs.;Not Applicable;Lokalafdeling;Not Applicable;Not Applicable;;;;;;;;;;;;;;;;;
143;Pedersen;Danish People's Party;6002;1418;Denmark;6;2012;7;7;7;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Kristian Thulesen Dahl
144;Pedersen;Danish People's Party;6002;1418;Denmark;6;2013;7;7;7;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Kristian Thulesen Dahl
145;Pedersen;Danish People's Party;6002;1418;Denmark;6;2014;7;7;7;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Kristian Thulesen Dahl
146;Pedersen;Social Liberal Party;6003;211;Denmark;6;2007;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Leader (partileder);Not Applicable;-999;Margrethe Vestager
147;Pedersen;Social Liberal Party;6003;211;Denmark;6;2011;3;3;3;3;4;Not Applicable;9116;2011;-999;-999;9116;2011;Marianne Jelved;Margrethe Vestager;Margrethe Vestager;Margrethe Vestager;Ballot access as a party requires signatures (1/175 of the eligible votes at the most recent election).;Minimum of 4 MPs.;Not Applicable;Kommuneforening;Not Applicable;Not Applicable;No rules.;No rules.;Parties represented after the previous election and still present in parliament are eligible to nominate candidates. Other parties are required to collect signatures from a number of voters totaling 1/175 of all valid votes cast at the previous election (set for five years). No voter may sign for more than one party. The signatures are verified by electoral authorities.;No legal rules.;No legal rules.;No rules.;2;No rules.;1;No role.;No role.;2;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
148;Pedersen;Social Liberal Party;6003;211;Denmark;6;2012;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
149;Pedersen;Social Liberal Party;6003;211;Denmark;6;2013;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
150;Pedersen;Social Liberal Party;6003;211;Denmark;6;2014;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Leader (partileder);Not Applicable;-999;Morten Ãstergaard
151;Pedersen;Socialist People's Party;6004;1644;Denmark;6;2010;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Villy SÃ¸vndal
152;Pedersen;Socialist People's Party;6004;1644;Denmark;6;2011;4;4;4;4;2;Not Applicable;15108;2011;-999;-999;15108;2011;Pernille VigsÃ¸ Bagge;Villy SÃ¸vndal;Villy SÃ¸vndal;Villy SÃ¸vndal;Ballot access as a party requires signatures (1/175 of the eligible votes at the most recent election).;Minimum of 4 MPs.;Not Applicable;Partiforening;Not Applicable;Not Applicable;No rules.;No rules.;Parties represented after the previous election and still present in parliament are eligible to nominate candidates. Other parties are required to collect signatures from a number of voters totaling 1/175 of all valid votes cast at the previous election (set for five years). No voter may sign for more than one party. The signatures are verified by electoral authorities.;No legal rules.;No legal rules.;No rules.;2;No rules.;1;Suggest candidates.;Nominates candidates.;2;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
153;Pedersen;Socialist People's Party;6004;1644;Denmark;6;2012;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Annette Vilhelmsen
154;Pedersen;Socialist People's Party;6004;1644;Denmark;6;2013;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
155;Pedersen;Socialist People's Party;6004;1644;Denmark;6;2014;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Pia Olsen Dyhr
156;Pedersen;Red-Green Alliance;6005;306;Denmark;6;2011;6;5;5;5;6;Not Applicable;8018;2011;-999;-999;8018;2011;Per Clausen;(Johanne Schmidt-Nielsen);Not Applicable;Johanne Schmidt-Nielsen;Ballot access as a party requires signatures (1/175 of the eligible votes at the most recent election).;Minimum of 4 MPs.;Not Applicable;Lokalafdeling;Not Applicable;Not Applicable;No rules.;No rules.;Parties represented after the previous election and still present in parliament are eligible to nominate candidates. Other parties are required to collect signatures from a number of voters totaling 1/175 of all valid votes cast at the previous election (set for five years). No voter may sign for more than one party. The signatures are verified by electoral authorities.;No legal rules.;No legal rules.;No rules.;2;No rules.;1;Advisory postal ballot on top-10 candidates.;No role.;2;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
157;Pedersen;Red-Green Alliance;6005;306;Denmark;6;2012;6;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
158;Pedersen;Red-Green Alliance;6005;306;Denmark;6;2013;6;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
159;Pedersen;Red-Green Alliance;6005;306;Denmark;6;2014;6;5;5;5;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Applicable;Not Applicable;-999;Not Applicable
160;Pedersen;Liberal Alliance;6006;376;Denmark;6;2009;-999;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Anders Samuelsen
161;Pedersen;Liberal Alliance;6006;376;Denmark;6;2011;-999;3;3;3;6;Not Applicable;6495;2011;-999;-999;6495;2011;Simon Emil AmmitzbÃ¸l;Leif Mikkelsen;Anders Samuelsen;Anders Samuelsen;Ballot access as a party requires signatures (1/175 of the eligible votes at the most recent election).;Minimum of 4 MPs.;Not Applicable;Lokalforening;Not Applicable;Not Applicable;No rules.;No rules.;Parties represented after the previous election and still present in parliament are eligible to nominate candidates. Other parties are required to collect signatures from a number of voters totaling 1/175 of all valid votes cast at the previous election (set for five years). No voter may sign for more than one party. The signatures are verified by electoral authorities.;No legal rules.;No legal rules.;No rules.;2;No rules.;1;No role.;No role.;2;Not Applicable;Party Chair (partiformand);No role.;-999;Anders Samuelsen
162;Pedersen;Liberal Alliance;6006;376;Denmark;6;2012;-999;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Anders Samuelsen
163;Pedersen;Liberal Alliance;6006;376;Denmark;6;2013;-999;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Anders Samuelsen
164;Pedersen;Liberal Alliance;6006;376;Denmark;6;2014;-999;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Anders Samuelsen
165;Pedersen;Conservatives;6007;590;Denmark;6;2011;1;1;1;1;3;Not Applicable;12698;2011;-999;-999;12698;2011;Lars Barfoed;Lars Barfoed;Lars Barfoed;Lars Barfoed;Ballot access as a party requires signatures (1/175 of the eligible votes at the most recent election).;Minimum of 4 MPs.;Not Applicable;VÃ¦lgerforening;Denmark's Conservative Students (DKS);Not Applicable;No rules.;No rules.;Parties represented after the previous election and still present in parliament are eligible to nominate candidates. Other parties are required to collect signatures from a number of voters totaling 1/175 of all valid votes cast at the previous election (set for five years). No voter may sign for more than one party. The signatures are verified by electoral authorities.;No legal rules.;No legal rules.;No rules.;2;No rules.;1;May participate and vote at the meeting where candidates for each nomination district are nominated.;Nominates one candidate in each of the nomination districts at the annual meeting.;2;Not Applicable;Party Leader (partileder);No role.;-999;Lars Barfoed
166;Pedersen;Conservatives;6007;590;Denmark;6;2012;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Leader (partileder);No role.;-999;Lars Barfoed
167;Pedersen;Conservatives;6007;590;Denmark;6;2013;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Leader (partileder);No role.;-999;Lars Barfoed
168;Pedersen;Conservatives;6007;590;Denmark;6;2014;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Leader (partileder);No role.;-999;SÃ¸ren Pape Poulsen
169;Pedersen;Liberals;6008;1605;Denmark;6;2011;3;3;3;3;4;Not Applicable;42132;2011;-999;-999;42132;2011;Lars LÃ¸kke Rasmussen;Lars LÃ¸kke Rasmussen;Lars LÃ¸kke Rasmussen;Lars LÃ¸kke Rasmussen;Ballot access as a party requires signatures (1/175 of the eligible votes at the most recent election).;Minimum of 4 MPs.;Not Applicable;VÃ¦lgerforening;Liberal Students, Liberal Editors, Organization that arranges evening education and cultural entertainment;Liberal members in the executives of the Organization of Danish Municipalities and the Organization of Danish Regions;No rules.;No rules.;Parties represented after the previous election and still present in parliament are eligible to nominate candidates. Other parties are required to collect signatures from a number of voters totaling 1/175 of all valid votes cast at the previous election (set for five years). No voter may sign for more than one party. The signatures are verified by electoral authorities.;No legal rules.;No legal rules.;No rules.;2;No rules.;1;No role.;Selects candidate.;2;Not Applicable;Party Chair (partiformand);No role.;-999;Lars LÃ¸kke Rasmussen
170;Pedersen;Liberals;6008;1605;Denmark;6;2012;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Lars LÃ¸kke Rasmussen
171;Pedersen;Liberals;6008;1605;Denmark;6;2013;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Lars LÃ¸kke Rasmussen
172;Pedersen;Liberals;6008;1605;Denmark;6;2014;3;3;3;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Party Chair (partiformand);No role.;-999;Lars LÃ¸kke Rasmussen
173;Fabre;Socialist Party;8001;1539;France;8;2011;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
174;Fabre;Socialist Party;8001;1539;France;8;2012;2;2;2;2;5;Not Applicable;173486;2012;-999;-999;173486;2012;Bruno Le Roux;Harlem DÃ©sir;Not Applicable;FranÃ§ois Hollande;At least 15 MPs (deputies) are necessary to form a parliamentary group in the National Assembly;A political party is any group (non-profit organisation) that receives public funding or has appointed a financial agent ('mandataire financier') or a financing organisation;Not Applicable;fÃ©dÃ©ration;Not Applicable;Party elected officials (FÃ©dÃ©ration nationale des Ã©lus socialistes et rÃ©publicains);;;;;;;;;;;;;;;;;
175;Fabre;Socialist Party;8001;1539;France;8;2013;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
176;Fabre;Socialist Party;8001;1539;France;8;2014;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
177;Fabre;Union for a Popular Movement;8004;658;France;8;2011;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
178;Fabre;Union for a Popular Movement;8004;658;France;8;2012;1;1;1;1;3;Not Applicable;280000;2012;-999;-999;280000;2012;Christian Jacob;Jean-FranÃ§ois CopÃ©;Not Applicable;Nicolas Sarkozy/Jean-FranÃ§ois CopÃ©;A minimum of 15 MPs are needed to form a parliamentary group in the National Assembly.;A political party is any group (non-profit organisation) that receives public funding or has appointed a financial agent ('mandataire financier') or financing association;Not Applicable;Section de circonscription;Not Applicable;10 delegates represent the party's 'movements' (factions);;;;;;;;;;;;;;;;;
179;Fabre;Union for a Popular Movement;8004;658;France;8;2013;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
180;Fabre;Union for a Popular Movement;8004;658;France;8;2014;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
181;Poguntke;Christian Democratic Union;9001;808;Germany;9;2011;1;1;1;1;3;Not Applicable;489896;2011;-999;-999;489896;2011;Volker Kauder;Angela Merkel;Angela Merkel;Angela Merkel;No rules.;5% of the members of the Bundestag are minimum requirement to form a parliamentary group.;Not Applicable;Ortsverband;Not Applicable;Not Applicable;;;;;;;;;;;;;;;;;
182;Poguntke;Christian Democratic Union;9001;808;Germany;9;2012;1;1;1;1;3;Not Applicable;476347;2012;-999;-999;476347;2012;Volker Kauder;Angela Merkel;Angela Merkel;Angela Merkel;No rules.;5% of the members of the Bundestag are minimum requirement to form a parliamentary group.;Not Applicable;Ortsverband;Not Applicable;Not Applicable;;;;;;;;;;;;;;;;;
183;Poguntke;Christian Democratic Union;9001;808;Germany;9;2013;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Most of the legal requirements are stated in the Bundeswahlgesetz (Federal Electoral Act). Vandidates have to hold the German citizenship and be of full age (18 yrs) on the election day (Â§15). Parties with 5 representatives in the Bundestag or a Landtag since the last election are entitled to propose their own candidates;;;;;;;;;;;;;;
184;Poguntke;Christian Democratic Union;9001;808;Germany;9;2014;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;National Chairman (Bundesvorsitzende);No role.;-999;Angela Merkel
185;Poguntke;Social Democratic Party;9002;558;Germany;9;2011;2;2;2;2;5;Not Applicable;489638;2011;-999;-999;489638;2011;Dr. Frank-Walter Steinmeier;Sigmar Gabriel;Not Applicable;Sigmar Gabriel;No rules.;5% of the members of the Bundestag are minimum requirement to form a parliamentary group.;Not Applicable;Ortsverband;Not Applicable;Not Applicable;At least 40% of the delegates have to be men/women.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Chairman (Vorsitzender);No role.;-999;Sigmar Gabriel
186;Poguntke;Social Democratic Party;9002;558;Germany;9;2012;2;2;2;2;5;Not Applicable;477037;2012;-999;-999;477037;2012;Dr. Frank-Walter Steinmeier;Sigmar Gabriel;Peer SteinbrÃ¼ck;Sigmar Gabriel;No rules.;5% of the members of the Bundestag are minimum requirement to form a parliamentary group.;Not Applicable;Ortsverband;Not Applicable;Not Applicable;At least 40% of the delegates have to be men/women.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
187;Poguntke;Social Democratic Party;9002;558;Germany;9;2013;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Most of the legal requirements are stated in the Bundeswahlgesetz (Federal Electoral Act). Vandidates have to hold the German citizenship and be of full age (18 yrs) on the election day (Â§15). Parties with 5 representatives in the Bundestag or a Landtag since the last election are entitled to propose their own candidates;;;;;;;;;;;;;;
